"","SUBJ_ID","YA_Education"
"909","CC322014",NA
"910","CC322161",8
"911","CC322186",3
"912","CC322270",7
"913","CC322319",2
"914","CC322358",7
"915","CC322480",NA
"916","CC322741",7
"917","CC410010",1
"918","CC410015",6
"919","CC410016",NA
"920","CC410021",NA
"921","CC410026",NA
"922","CC410029",8
"923","CC410030",NA
"924","CC410032",2
"925","CC410037",NA
"926","CC410040",NA
"927","CC410041",3
"928","CC410071",NA
"929","CC410073",8
"930","CC410079",3
"931","CC410080",NA
"932","CC410084",5
"933","CC410086",8
"934","CC410091",8
"935","CC410094",3
"936","CC410097",NA
"937","CC410101",6
"938","CC410110",NA
"939","CC410113",7
"940","CC410116",NA
"941","CC410119",4
"942","CC410121",5
"943","CC410122",NA
"944","CC410129",8
"945","CC410140",NA
"946","CC410145",NA
"947","CC410150",NA
"948","CC410153",4
"949","CC410158",NA
"950","CC410163",NA
"951","CC410166",NA
"952","CC410167",6
"953","CC410169",6
"954","CC410171",NA
"955","CC410173",NA
"956","CC410177",6
"957","CC410179",8
"958","CC410182",6
"959","CC410194",2
"960","CC410200",NA
"961","CC410218",3
"962","CC410220",6
"963","CC410222",6
"964","CC410226",6
"965","CC410231",NA
"966","CC410242",5
"967","CC410243",6
"968","CC410244",8
"969","CC410248",8
"970","CC410249",7
"971","CC410251",3
"972","CC410256",6
"973","CC410257",NA
"974","CC410259",NA
"975","CC410265",6
"976","CC410269",3
"977","CC410275",6
"978","CC410277",7
"979","CC410284",4
"980","CC410286",6
"981","CC410287",3
"982","CC410288",NA
"983","CC410289",3
"984","CC410292",NA
"985","CC410293",4
"986","CC410297",7
"987","CC410301",6
"988","CC410313",6
"989","CC410323",8
"990","CC410325",6
"991","CC410337",6
"992","CC410346",NA
"993","CC410353",NA
"994","CC410354",4
"995","CC410364",NA
"996","CC410382",NA
"997","CC410387",8
"998","CC410388",NA
"999","CC410390",6
"1000","CC410392",NA
"1001","CC410398",4
"1002","CC410428",7
"1003","CC410432",6
"1004","CC410435",6
"1005","CC410447",6
"1006","CC410453",7
"1007","CC410457",8
"1008","CC412004",6
"1009","CC412021",6
"1010","CC420004",8
"1011","CC420032",8
"1012","CC420041",6
"1013","CC420043",NA
"1014","CC420057",8
"1015","CC420058",6
"1016","CC420060",NA
"1017","CC420061",6
"1018","CC420067",2
"1019","CC420071",7
"1020","CC420075",4
"1021","CC420089",5
"1022","CC420091",4
"1023","CC420094",6
"1024","CC420100",4
"1025","CC420101",NA
"1026","CC420108",NA
"1027","CC420109",NA
"1028","CC420110",NA
"1029","CC420117",NA
"1030","CC420125",NA
"1031","CC420130",2
"1032","CC420134",4
"1033","CC420137",NA
"1034","CC420140",6
"1035","CC420143",2
"1036","CC420146",8
"1037","CC420148",6
"1038","CC420149",7
"1039","CC420152",6
"1040","CC420154",NA
"1041","CC420157",8
"1042","CC420158",6
"1043","CC420162",4
"1044","CC420163",NA
"1045","CC420167",6
"1046","CC420173",6
"1047","CC420180",3
"1048","CC420181",8
"1049","CC420182",7
"1050","CC420183",6
"1051","CC420184",NA
"1052","CC420188",2
"1053","CC420194",8
"1054","CC420195",7
"1055","CC420196",NA
"1056","CC420197",3
"1057","CC420198",4
"1058","CC420200",4
"1059","CC420202",NA
"1060","CC420204",3
"1061","CC420207",6
"1062","CC420210",4
"1063","CC420217",4
"1064","CC420218",NA
"1065","CC420220",8
"1066","CC420222",3
"1067","CC420226",4
"1068","CC420227",NA
"1069","CC420229",4
"1070","CC420231",6
"1071","CC420236",6
"1072","CC420241",8
"1073","CC420242",1
"1074","CC420243",7
"1075","CC420244",6
"1076","CC420246",8
"1077","CC420251",4
"1078","CC420259",3
"1079","CC420260",6
"1080","CC420261",NA
"1081","CC420286",8
"1082","CC420301",NA
"1083","CC420303",NA
"1084","CC420309",7
"1085","CC420317",6
"1086","CC420322",6
"1087","CC420324",3
"1088","CC420327",NA
"1089","CC420331",NA
"1090","CC420342",6
"1091","CC420348",6
"1092","CC420352",NA
"1093","CC420354",NA
"1094","CC420356",3
"1095","CC420363",NA
"1096","CC420364",NA
"1097","CC420368",6
"1098","CC420374",4
"1099","CC420378",NA
"1100","CC420379",6
"1101","CC420383",2
"1102","CC420387",NA
"1103","CC420392",6
"1104","CC420396",NA
"1105","CC420397",6
"1106","CC420402",7
"1107","CC420412",4
"1108","CC420416",7
"1109","CC420418",NA
"1110","CC420423",NA
"1111","CC420432",5
"1112","CC420433",6
"1113","CC420435",NA
"1114","CC420447",NA
"1115","CC420454",NA
"1116","CC420455",NA
"1117","CC420462",NA
"1118","CC420463",NA
"1119","CC420464",3
"1120","CC420483",5
"1121","CC420493",3
"1122","CC420494",7
"1123","CC420501",3
"1124","CC420502",NA
"1125","CC420512",NA
"1126","CC420531",4
"1127","CC420541",NA
"1128","CC420546",5
"1129","CC420551",NA
"1130","CC420554",NA
"1131","CC420566",6
"1132","CC420569",8
"1133","CC420572",1
"1134","CC420582",3
"1135","CC420587",6
"1136","CC420589",NA
"1137","CC420592",NA
"1138","CC420599",NA
"1139","CC420603",NA
"1140","CC420604",NA
"1141","CC420623",4
"1142","CC420624",6
"1143","CC420625",2
"1144","CC420635",NA
"1145","CC420646",1
"1146","CC420655",NA
"1147","CC420680",6
"1148","CC420701",6
"1149","CC420715",6
"1150","CC420718",6
"1151","CC420719",NA
"1152","CC420720",8
"1153","CC420729",3
"1154","CC420731",NA
"1155","CC420749",3
"1156","CC420776",8
"1157","CC420794",3
"1158","CC420818",6
"1159","CC420822",NA
"1160","CC420839",NA
"1161","CC420845",NA
"1162","CC420846",6
"1163","CC420888",5
"1164","CC420905",NA
"1165","CC420936",6
"1166","CC420942",NA
"1167","CC420993",6
"1168","CC510001",6
"1169","CC510014",NA
"1170","CC510015",7
"1171","CC510017",3
"1172","CC510025",NA
"1173","CC510026",4
"1174","CC510033",NA
"1175","CC510037",6
"1176","CC510039",3
"1177","CC510043",NA
"1178","CC510044",4
"1179","CC510045",NA
"1180","CC510048",NA
"1181","CC510050",6
"1182","CC510062",4
"1183","CC510063",NA
"1184","CC510072",NA
"1185","CC510073",2
"1186","CC510076",2
"1187","CC510077",4
"1188","CC510086",NA
"1189","CC510089",NA
"1190","CC510101",4
"1191","CC510102",6
"1192","CC510104",NA
"1193","CC510106",6
"1194","CC510110",NA
"1195","CC510114",4
"1196","CC510115",3
"1197","CC510117",6
"1198","CC510122",6
"1199","CC510126",6
"1200","CC510127",NA
"1201","CC510128",3
"1202","CC510129",NA
"1203","CC510130",8
"1204","CC510135",NA
"1205","CC510141",6
"1206","CC510147",NA
"1207","CC510152",4
"1208","CC510161",NA
"1209","CC510163",3
"1210","CC510169",4
"1211","CC510173",NA
"1212","CC510179",6
"1213","CC510181",NA
"1214","CC510182",NA
"1215","CC510194",3
"1216","CC510206",NA
"1217","CC510207",8
"1218","CC510208",8
"1219","CC510211",6
"1220","CC510215",7
"1221","CC510220",8
"1222","CC510226",6
"1223","CC510233",NA
"1224","CC510237",7
"1225","CC510240",2
"1226","CC510242",6
"1227","CC510243",NA
"1228","CC510249",8
"1229","CC510252",5
"1230","CC510255",6
"1231","CC510256",6
"1232","CC510258",5
"1233","CC510259",2
"1234","CC510263",NA
"1235","CC510264",3
"1236","CC510269",4
"1237","CC510270",NA
"1238","CC510281",NA
"1239","CC510284",2
"1240","CC510285",NA
"1241","CC510289",NA
"1242","CC510300",NA
"1243","CC510303",4
"1244","CC510304",NA
"1245","CC510314",NA
"1246","CC510321",5
"1247","CC510323",7
"1248","CC510329",8
"1249","CC510332",NA
"1250","CC510342",NA
"1251","CC510343",3
"1252","CC510347",NA
"1253","CC510350",NA
"1254","CC510354",3
"1255","CC510355",2
"1256","CC510371",NA
"1257","CC510377",NA
"1258","CC510392",NA
"1259","CC510393",NA
"1260","CC510395",2
"1261","CC510415",6
"1262","CC510426",NA
"1263","CC510429",NA
"1264","CC510430",NA
"1265","CC510433",3
"1266","CC510434",6
"1267","CC510435",6
"1268","CC510438",6
"1269","CC510440",NA
"1270","CC510448",NA
"1271","CC510456",NA
"1272","CC510473",3
"1273","CC510474",4
"1274","CC510476",NA
"1275","CC510478",NA
"1276","CC510480",7
"1277","CC510483",NA
"1278","CC510486",7
"1279","CC510487",NA
"1280","CC510488",NA
"1281","CC510492",6
"1282","CC510498",8
"1283","CC510502",8
"1284","CC510505",6
"1285","CC510511",6
"1286","CC510516",NA
"1287","CC510519",3
"1288","CC510526",2
"1289","CC510534",4
"1290","CC510540",NA
"1291","CC510543",2
"1292","CC510548",4
"1293","CC510551",1
"1294","CC510552",6
"1295","CC510568",8
"1296","CC510572",NA
"1297","CC510590",8
"1298","CC510591",NA
"1299","CC510592",3
"1300","CC510594",NA
"1301","CC510602",6
"1302","CC510607",NA
"1303","CC510609",4
"1304","CC510621",2
"1305","CC510629",2
"1306","CC510636",NA
"1307","CC510637",NA
"1308","CC510639",NA
